2026-03-24 18:13:04 | INFO     | mangabuff | 🔄 Карта изменилась во время обработки!
2026-03-24 18:13:04 | INFO     | mangabuff | 📥 Загрузка новой карты после прерывания...
2026-03-24 18:13:04 | INFO     | mangabuff | Загрузка информации о буст-карте...
2026-03-24 18:13:06 | INFO     | mangabuff | Буст-карта загружена: Томочика Данноура (ID: 207946)
2026-03-24 18:13:06 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ ПРИ ЗАГРУЗКЕ КАРТЫ
2026-03-24 18:13:06 | INFO     | mangabuff | Владельцев: 666, Желающих: 13
2026-03-24 18:13:06 | DEBUG    | mangabuff | Буст-карта сохранена в boost_card.json
2026-03-24 18:13:06 | INFO     | mangabuff | 🚩 Сброс флагов прерывания...
2026-03-24 18:13:08 | INFO     | mangabuff | ======================================================================
2026-03-24 18:13:08 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ В ЦИКЛЕ
2026-03-24 18:13:08 | INFO     | mangabuff | Карта: Томочика Данноура (ID: 207946)
2026-03-24 18:13:08 | INFO     | mangabuff | Обработка карты: Томочика Данноура (ID: 207946)
2026-03-24 18:13:08 | INFO     | mangabuff | Начало обработки владельцев карты 207946
2026-03-24 18:13:09 | INFO     | mangabuff | Начало выбора карты: rank=D, target_wanters=13 (норм: 13)
2026-03-24 18:13:09 | INFO     | mangabuff | Доступно непропарсенных карт ранга D: 827
2026-03-24 18:13:09 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 13, normalized: 13)
2026-03-24 18:13:09 | DEBUG    | mangabuff | Парсинг карты: Клодин (ID: 237512)
2026-03-24 18:13:11 | DEBUG    | mangabuff | Карта Клодин пропущена: 222 желающих
2026-03-24 18:13:11 | DEBUG    | mangabuff | Парсинг карты: Алекс и Лейла (ID: 53533)
2026-03-24 18:13:13 | DEBUG    | mangabuff | Карта Алекс и Лейла пропущена: 97 желающих
2026-03-24 18:13:13 | DEBUG    | mangabuff | Парсинг карты: Теодор Бланш (ID: 3916)
2026-03-24 18:13:15 | DEBUG    | mangabuff | Карта Теодор Бланш пропущена: 77 желающих
2026-03-24 18:13:16 | DEBUG    | mangabuff | Парсинг карты: Аясэ (ID: 105666)
2026-03-24 18:13:39 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Аясэ (8 желающих) после 4 проверок
2026-03-24 18:13:41 | INFO     | mangabuff | Начало выбора карты: rank=D, target_wanters=13 (норм: 13)
2026-03-24 18:13:41 | INFO     | mangabuff | Доступно непропарсенных карт ранга D: 823
2026-03-24 18:13:41 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 13, normalized: 13)
2026-03-24 18:13:41 | DEBUG    | mangabuff | Парсинг карты: Кирмин Ку (ID: 144248)
2026-03-24 18:14:55 | WARNING  | mangabuff | Не удалось получить желающих для карты 144248
2026-03-24 18:14:55 | DEBUG    | mangabuff | Парсинг карты: Ава (ID: 219571)
2026-03-24 18:14:56 | DEBUG    | mangabuff | Альтернатива обновлена: Ава (35)
2026-03-24 18:14:56 | DEBUG    | mangabuff | Парсинг карты: Дракон (ID: 66338)
2026-03-24 18:14:57 | DEBUG    | mangabuff | Карта Дракон пропущена: 131 желающих
